Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Nedbør (døgn),Minimumstemperatur (døgn),Maksimumstemperatur (døgn)
Tynset - Hansmoen,SN9580,01.01.2020,5.6,0,-5.3,8.3
Tynset - Hansmoen,SN9580,02.01.2020,4.2,0,0.4,7.2
Tynset - Hansmoen,SN9580,03.01.2020,-0.3,0.6,-4,6.4
Tynset - Hansmoen,SN9580,04.01.2020,-2.8,3,-3.8,-0.3
Tynset - Hansmoen,SN9580,05.01.2020,-5.8,0.4,-8.3,-2.3
Tynset - Hansmoen,SN9580,06.01.2020,-6.3,1.4,-14.2,-1.2
Tynset - Hansmoen,SN9580,07.01.2020,0.1,0,-8.4,3.9
Tynset - Hansmoen,SN9580,08.01.2020,2.5,0,-0.2,6
Tynset - Hansmoen,SN9580,09.01.2020,-7.6,0,-14.7,1.8
Tynset - Hansmoen,SN9580,10.01.2020,-21.3,0,-23.7,-14.1
Tynset - Hansmoen,SN9580,11.01.2020,-2.8,0.1,-23.2,4.9
Tynset - Hansmoen,SN9580,12.01.2020,-2,0,-9,4.6
Tynset - Hansmoen,SN9580,13.01.2020,-3.6,0,-10.4,1.2
Tynset - Hansmoen,SN9580,14.01.2020,-0.2,0.1,-4.8,2.8
Tynset - Hansmoen,SN9580,15.01.2020,-1.8,1.5,-7.3,0.9
Tynset - Hansmoen,SN9580,16.01.2020,-0.2,0,-8,5.5
Tynset - Hansmoen,SN9580,17.01.2020,2.5,0,-1.8,4.1
Tynset - Hansmoen,SN9580,18.01.2020,-4,0,-8.3,3.8
Tynset - Hansmoen,SN9580,19.01.2020,-4.8,0,-13.2,1
Tynset - Hansmoen,SN9580,20.01.2020,6.8,0.3,-4.8,10
Tynset - Hansmoen,SN9580,21.01.2020,1.5,0.1,-2.5,9.4
Tynset - Hansmoen,SN9580,22.01.2020,-2.8,0.8,-8.1,1.7
Tynset - Hansmoen,SN9580,23.01.2020,1.3,0,-8.6,7.6
Tynset - Hansmoen,SN9580,24.01.2020,-2.2,0,-8.6,6.6
Tynset - Hansmoen,SN9580,25.01.2020,-5,0,-9.6,0.2
Tynset - Hansmoen,SN9580,26.01.2020,-0.7,0,-6.9,5
Tynset - Hansmoen,SN9580,27.01.2020,-0.7,0,-9.4,3.1
Tynset - Hansmoen,SN9580,28.01.2020,-5.2,0.1,-9.6,1.6
Tynset - Hansmoen,SN9580,29.01.2020,-3.1,2.3,-6.2,0
Tynset - Hansmoen,SN9580,30.01.2020,-4.5,2.6,-7.5,-1.7
Tynset - Hansmoen,SN9580,31.01.2020,-1.9,0,-5.7,-0.2
Tynset - Hansmoen,SN9580,01.02.2020,-1.3,0.5,-1.2,2
Tynset - Hansmoen,SN9580,02.02.2020,-3.8,2.4,-14.5,2
Tynset - Hansmoen,SN9580,03.02.2020,-12,1.2,-17.2,0
Tynset - Hansmoen,SN9580,04.02.2020,-12.4,0.2,-19.4,-2.3
